73,Frankford Transportation Center to Richmond-Westmoreland,To Richmond-Westmoreland,To Frankford Trans. Center
75,Wayne Junction to Arrott Transportation Center,To Wayne Junction,To Arrott Trans. Center
77,Roosevelt-St. Vincent to Chestnut Hill,To Chestnut Hill,Roosevelt-St. Vincent
78,Express Cornwells Heights to Center City,to Cornwells Heights Station,to Center City
79,Columbus Commons to 29th-Snyder,To Columbus Commons,To 29th-Snyder
80,Express Horsham to Olney Transportation Center,To Olney Trans. Center,To Horsham
84,Bustleton-County Line and Philadelphia Mills to Frankford Transportation Center,To Bustleton-County Line,To Frankford Trans. Center
88,Bethayres and Holme-Pennypack to Frankford Transportation Center,To Bethayres,To Frankford Trans. Center
89,Front-Dauphin to Arrott Transportation Center,To Arrott Trans. Center,To Front-Dauphin
G,Overbrook and Lankenau Med. Cntr. to Columbus Commons or Food Distribution Center,To Columbus Commons,To Overbrk. & Lank. Med. Ctr.
H,Broad-Erie to Cheltenham-Ogontz,To Cheltenham-Ogontz,To Broad-Erie
XH,Broad-Erie to Cheltenham-Ogontz,To Cheltenham-Ogontz,To Broad-Erie
J,Chelten-Wissahickon to Richmond-Orthodox,To Richmond-Orthodox,To Chelten-Wissahickon
K,Ridge-Midvale to Arrott Transportation Center,To Ridge-Midvale,To Arrott Trans. Center
L,Erdenheim or Plymouth Meeting Mall to Olney Transportation Center,To Erdenheim,To Olney Trans. Center
R,Henry-Midvale and Wissahickon Transportation Center to Frankford Transportation Center,To Henry-Midvale,To Frankford Trans. Center
LUCY,Loop through University City,Gold Loop,Green Loop
90,Plymouth Meeting Mall to Norristown Transportation Center,To Norristown Trans. Center,To Plymouth Meeting Mall
91,Graterford to Norristown Transportation Center,To Norristown Trans. Center,To Graterford
92,Exton to King of Prussia,To Exton,To King of Prussia
93,Pottstown to Norristown Transportation Center,To Norristown Trans. Center,To Pottstown
94,Montgomery Mall to Chestnut Hill,To Chestnut Hill,To Montgomery Mall
95,Willow Grove to Gulph Mills,To Gulph Mills,To Willow Grove
96,Lansdale to Norristown Transportation Center,To Norristown Trans. Center,To Lansdale
97,Chestnut Hill to Norristown Transportation Center,To Norristown Trans. Center,To Chestnut Hill
98,Plymouth Meeting Mall to Norristown Transportation Center,To Norristown Trans. Center,To Plymouth Meeting Mall
99,Phoenixville to Norristown Transportation Center,To Norristown Trans. Center,To Phoenixville
103,Ardmore to 69th Street Transportation Center,To 69th Street Trans. Center,To Ardmore
104,West Chester University to 69th Street Transportation Center,To 69th Street Trans. Center,To West Chester University
105,Paoli to 69th Street Transportation Center,To 69th Street Trans. Center,To Paoli
106,Ardmore and Paoli to 69th Street Transportation Center,To 69th Street Trans. Center,To Ardmore and Paoli
107,Lawrence Park to 69th Street Transportation Center,To 69th Street Trans. Center,To Lawrence Park
108,Airport and Airport Business Center to 69th Street Transportation Center,To 69th Street Trans. Center,To Airport
109,Chester Transportation Center to 69th Street Transportation Center,To 69th Street Trans. Center,To Chester Trans. Center
110,Penn State and Springfield Mall to 69th Street Transportation Center,To 69th Street Trans. Center,To Penn State
111,Chadds Ford and Penn State to 69th Street Transportation Center,To 69th Street Trans. Center,To Chadds Ford and Penn State
112,Delaware County Community College to 69th Street Transportation Center,To 69th Street Trans. Center,To Delaware Co. Comm. College
113,Tri-State Mall and Darby Transportation Center to 69th Street Transportation Center,To 69th Street Trans. Center,To Tri-State Mall
114,Granite Run Mall and I-95 Industrial Park to Darby Transportation Center,To Darby Trans. Center,To Granite Run Mall
115,Delaware County Community College to Airport,To Airport,To Delaware Co. Comm. College
117,Penn State to I-95 Industrial Park,To I-95 Industrial Park,To Penn State
118,Newtown Square to Chester Transportation Center,To Chester Trans. Center,To Newtown Square
119,Cheyney University to Chester Transportation Center,To Chester Trans. Center,To Cheyney University
120,Cheyney University to 69th Street Transportation Center,To 69th Street Trans. Center,To Cheyney University
123,King of Prussia to 69th Street Transportation Center,To 69th Street Trans. Center,To King of Prussia
124,Chesterbrook and King of Prussia to 13th-Market,To 13th-Market,To Chesterbrook
125,Valley Forge and King of Prussia to 13th-Market,To 13th-Market,To Valley Forge
126,Lawrence Park to 69th Street Transportation Center,To 69th Street Trans. Center,To Lawrence Park
127,Trenton Transit Center to Oxford Valley Mall,To Oxford Valley Mall,To Trenton Transit Center
128,Neshaminy Mall to Oxford Valley Mall,To Neshaminy Mall,To Oxford Valley Mall
129,Frankford-Knights to Oxford Valley Mall,To Oxford Valley Mall,To Frankford-Knights
130,Bucks County Community College to Frankford-Knights,To Frankford-Knights,To Bucks Co. Comm. College
131,Audubon to Norristown Transportation Center,To Norristown Trans. Center,To Audubon
132,Telford to Montgomery Mall,To Montgomery Mall,To Telford
133,Frankford-Knights to Bensalem,To Frankford-Knights,To Bensalem
139,Limerick to King of Prussia,To King of Prussia,To Limerick
150,Parx Casino to Plymouth Meeting Mall,To Plymouth Meeting Mall,Parx Casino
201,Fort Washington Office Center to Fort Washington Station,To Fort Washington Station,To Fort Washington Office Center
204,Eagleview to Paoli Station,To Paoli Station,To Eagleview
205,Chesterbrook to Paoli Station,To Paoli Station,To Phoenixville
206,Paoli Station to the Commons at Great Valley,To Paoli Station,To Great Valley Corp. Center
310,Horsham Breeze,To Horsham & Willow Grove,
